"","X","Player","Pos","Height","Weight","Age","Age21"
"185",185,"Quincy Pondexter","F",78,225,25,">21"
"186",186,"Tyreke Evans","G",78,220,24,">21"
"187",187,"Deshaun Thomas","F",78,220,22,">21"
"188",188,"Danny Green","G",78,210,26,">21"
"189",189,"Manu Ginobili","F",78,205,36,">21"
"190",190,"Shabazz Muhammad","G",78,225,20,"<=21"
"191",191,"Alexey Shved","G",78,190,24,">21"
"192",192,"E.J. Singler","F",78,215,23,">21"
"193",193,"Will Barton","G",78,174,22,">21"
"194",194,"Allen Crabbe","G",78,200,21,"<=21"
"195",195,"Brandon Rush","F",78,210,28,">21"
"196",196,"Alec Burks","G",78,195,22,">21"
"197",197,"Andre Iguodala","F",78,207,29,">21"
"198",198,"Xavier Henry","F",78,220,22,">21"
"199",199,"Nick Young","G",78,200,28,">21"
"200",200,"Kobe Bryant","G",78,205,35,">21"
"201",201,"John Salmons","F",78,207,33,">21"
"202",202,"Greivis Vasquez","G",78,211,26,">21"
"203",203,"Chuck Hayes","F",78,238,30,">21"
"204",204,"Gerald Wallace","F",79,220,31,">21"
"205",205,"Joe Johnson","G",79,240,32,">21"
"206",206,"Shaun Livingston","G",79,185,28,">21"
"207",207,"Paul Pierce","F",79,235,35,">21"
"208",208,"Metta World Peace","F",79,260,33,">21"
"209",209,"Evan Turner","F",79,205,24,">21"
"210",210,"Arsalan Kazemi","F",79,226,23,">21"
"211",211,"Landry Fields","F",79,214,25,">21"
"212",212,"Quincy Acy","F",79,233,22,">21"
"213",213,"DeMar DeRozan","G",79,217,24,">21"
"214",214,"Terrence Ross","F",79,197,22,">21"
"215",215,"Tony Snell","F",79,200,21,"<=21"
"216",216,"Jimmy Butler","F",79,220,24,">21"
"217",217,"Sergey Karasev","G",79,197,19,"<=21"
"218",218,"Solomon Hill","F",79,220,22,">21"
"219",219,"Caron Butler","F",79,228,33,">21"
"220",220,"Khris Middleton","F",79,215,22,">21"
"221",221,"Kyle Korver","G",79,212,32,">21"
"222",222,"Jeff Adrien","F",79,243,27,">21"
"223",223,"Michael Kidd-Gilchrist","F",79,232,19,"<=21"
"224",224,"Jeff Taylor","F",79,225,24,">21"
"225",225,"James Ennis","G",79,201,23,">21"
"226",226,"Jason Maxiell","F",79,260,30,">21"
"227",227,"Martell Webster","F",79,230,26,">21"
"228",228,"Shawn Marion","F",79,228,35,">21"
"229",229,"Ricky Ledo","G",79,197,21,"<=21"
"230",230,"Jae Crowder","F",79,240,23,">21"
"231",231,"DeJuan Blair","F",79,270,24,">21"
"232",232,"Ronnie Brewer","G",79,235,28,">21"
"233",233,"Francisco Garcia","F",79,195,31,">21"
"234",234,"Kawhi Leonard","F",79,225,22,">21"
"235",235,"Damion James","F",79,220,25,">21"
"236",236,"Jordan Hamilton","F",79,220,22,">21"
"237",237,"Evan Fournier","G",79,206,20,"<=21"
"238",238,"Kevin Martin","G",79,185,30,">21"
"239",239,"Chase Budinger","G",79,218,25,">21"
"240",240,"Mickael Gelabale","F",79,215,30,">21"
"241",241,"Thabo Sefolosha","G",79,215,29,">21"
